2782.343213637001 5540.557899124951
2812.3016933267104 5517.959807591513
2784.0684983296137 5540.111791265219
2789.5838849284733 5536.66710944974
2792.5786991499494 5532.282008733279
2791.024073777663 5533.424324664422
2799.09150852505 5529.984729785757
2800.908875672011 5527.849998074931
2785.822045978097 5539.220727949435
2796.8113711319793 5530.303348213098
2796.472787801583 5530.681357412718
2801.7569490975807 5520.55027256163
2799.6739832937055 5528.6202733582795
2817.0744180694905 5516.128603729732
2794.8793533945463 5531.95097064919
2797.282999938706 5530.014747498452
2823.590941593406 5515.0375499462225
2845.534693836658 5514.166293617796
Elapsed time (seconds): 4704.451186418533
